Student_ID,Gender,Age,Study_Hours,Attendance_Percentage,Assignment_Score,Midterm_Score,Final_Score,Participation,Extracurricular,Grade,Pass_Fail
1001,Male,24,5,71,60,97,55,Low,No,B,Pass
1002,Female,19,4,92,69,85,70,Medium,No,B,Pass
1003,Male,19,5,78,,59,44,High,Yes,D,Pass
1004,Male,21,15,59,67,92,58,Low,Yes,B,Pass
1005,Male,19,7,88,86,97,98,Low,No,A,Pass
1006,Female,19,3,60,72,96,83,Medium,No,B,Pass
1007,Male,23,3,,44,56,70,High,No,D,Pass
1008,Male,21,6,25,99,92,58,High,No,B,Pass
1009,Male,23,4,70,,92,57,Low,Yes,B,Pass
1010,Female,24,2,87,87,83,96,Low,No,A,Pass
1011,Male,24,,63,58,86,71,Medium,Yes,B,Pass
1012,Male,23,5,60,43,76,46,Medium,No,D,Pass
1013,Male,24,6,70,74,49,89,High,No,B,Pass
1014,Male,21,1,83,88,88,47,High,No,B,Pass
1015,Female,18,5,57,56,94,57,Low,No,C,Pass
1016,Male,23,6,,83,42,64,High,No,C,Pass
1017,Female,22,4,90,67,87,51,Medium,Yes,C,Pass
1018,Female,22,4,73,69,94,96,Medium,Yes,A,Pass
1019,Female,19,4,80,68,39,47,Low,No,D,Pass
1020,Male,24,4,57,,40,93,Medium,No,B,Pass
1021,Female,22,4,73,92,81,53,Medium,Yes,B,Pass
1022,Male,19,6,74,45,89,83,Medium,No,B,Pass
1023,Female,18,6,86,74,74,46,Medium,No,C,Pass
1024,Female,21,3,61,99,86,95,Low,Yes,A,Pass
1025,Female,21,8,95,80,50,53,Low,No,C,Pass
1026,Female,21,2,87,76,47,43,High,No,D,Pass
1027,Female,22,7,94,63,64,62,Medium,Yes,C,Pass
1028,Female,18,4,93,68,53,86,High,Yes,C,Pass
1029,Female,22,1,72,88,51,50,Low,Yes,C,Pass
1030,Female,24,7,94,85,97,46,Low,No,B,Pass
1031,Male,22,,55,92,53,59,Low,Yes,C,Pass
1032,Male,18,1,65,70,92,86,Low,Yes,B,Pass
1033,Female,18,1,82,74,89,87,Low,Yes,B,Pass
1034,Female,24,1,79,99,96,57,Low,Yes,B,Pass
1035,Female,18,3,77,72,57,50,Low,Yes,D,Pass
1036,Male,18,6,85,91,43,91,Medium,Yes,B,Pass
1037,Female,21,1,84,100,46,73,High,No,B,Pass
1038,Male,24,4,96,60,35,87,Low,No,C,Pass
1039,Male,20,5,89,71,92,76,Medium,Yes,B,Pass
1040,Male,20,1,61,62,35,92,Medium,Yes,C,Pass
1041,Male,18,3,70,72,68,73,High,Yes,B,Pass
1042,Male,20,7,80,42,82,48,Low,No,D,Pass
1043,Female,20,6,56,57,35,39,High,No,F,Fail
1044,Female,18,,55,64,50,69,Low,No,C,Pass
1045,Female,20,3,66,81,95,52,Medium,No,B,Pass
1046,Female,22,1,59,,98,43,Medium,No,B,Pass
1047,Female,19,6,91,93,97,92,Medium,No,A,Pass
1048,Male,24,5,86,97,56,51,Medium,No,C,Pass
1049,Female,19,1,63,,60,41,High,No,F,Fail
1050,Female,18,3,,79,50,80,Low,No,C,Pass
1051,Male,21,2,89,85,85,47,Low,Yes,B,Pass
1052,Female,24,4,73,63,91,74,High,Yes,B,Pass
1053,Male,18,8,70,89,63,76,Low,Yes,B,Pass
1054,Female,21,7,57,71,81,43,Medium,Yes,C,Pass
1055,Male,19,3,74,86,96,84,Low,No,A,Pass
1056,Female,18,6,78,61,50,61,Medium,No,D,Pass
1057,Female,24,,87,62,82,100,High,Yes,B,Pass
1058,Male,24,8,78,41,73,39,Low,No,D,Pass
1059,Male,23,8,65,66,67,63,High,Yes,C,Pass
1060,Male,22,1,,81,57,71,Low,No,C,Pass
1061,Male,20,4,90,41,44,72,Medium,Yes,D,Pass
1062,Male,21,1,92,65,68,42,High,No,D,Pass
1063,Male,23,6,94,56,86,99,Low,No,B,Pass
1064,Male,20,1,74,79,44,51,Medium,Yes,D,Pass
1065,Male,20,2,89,72,53,79,High,No,C,Pass
1066,Female,18,4,79,48,92,38,High,Yes,D,Pass
1067,Female,20,4,89,82,35,70,Low,Yes,C,Pass
1068,Male,22,6,79,93,38,65,Low,Yes,C,Pass
1069,Female,24,7,83,87,50,53,Low,Yes,C,Pass
1070,Female,23,2,72,78,58,95,Medium,No,B,Pass
1071,Female,20,3,100,68,36,88,Low,No,C,Pass
1072,Female,18,1,72,81,66,73,High,No,B,Pass
1073,Male,22,5,,94,58,53,High,Yes,C,Pass
1074,Female,19,1,89,65,46,73,Low,No,C,Pass
1075,Male,24,8,70,74,84,79,Low,Yes,B,Pass
1076,Female,24,1,95,89,69,47,High,No,C,Pass
1077,Female,23,3,90,64,67,92,Medium,No,B,Pass
1078,Female,24,1,87,63,67,54,Low,No,C,Pass
1079,Male,20,2,58,52,95,95,Low,Yes,B,Pass
1080,Female,18,2,87,99,85,73,High,No,A,Pass
1081,Male,24,4,68,97,77,35,Low,No,C,Pass
1082,Female,24,6,75,46,46,37,Medium,Yes,F,Fail
1083,Male,19,7,74,96,99,96,High,No,A,Pass
1084,Female,19,,62,75,67,97,Low,Yes,B,Pass
1085,Male,21,8,61,84,74,59,High,No,B,Pass
1086,Male,22,1,57,59,77,90,Low,Yes,B,Pass
1087,Female,20,1,71,40,78,67,Low,Yes,C,Pass
1088,Male,24,3,87,47,63,72,Low,No,C,Pass
1089,Female,24,6,66,85,47,40,Medium,Yes,D,Pass
1090,Female,18,2,76,55,46,92,Medium,Yes,C,Pass
1091,Female,21,5,76,53,80,78,High,Yes,B,Pass
1092,Female,22,4,100,51,36,79,Low,Yes,D,Pass
1093,Female,21,2,84,90,69,66,Low,Yes,B,Pass
1094,Female,23,8,92,62,42,79,Medium,Yes,C,Pass
1095,Female,22,6,92,54,60,95,Low,No,C,Pass
1096,Female,24,8,99,67,68,81,Medium,Yes,B,Pass
1097,Female,24,7,62,73,41,55,Low,Yes,D,Pass
1098,Female,22,4,81,41,92,70,High,No,C,Pass
1099,Female,24,7,81,71,63,53,Low,No,C,Pass
1100,Male,20,3,88,62,70,54,Low,No,C,Pass
