age,monthly_income,purchased
24,22629,0
21,16016,1
22,23529,0
24,32262,0
20,24268,0
22,27185,1
22,21331,1
24,23571,0
19,22208,1
20,20276,1
24,33446,1
20,31448,1
20,31216,1
22,23006,0
21,17568,1
20,17027,0
23,17695,0
22,30422,1
19,20258,0
21,21736,0
23,15391,0
23,28986,1
19,27666,1
21,20892,0
22,18561,1
18,21184,1
21,34483,1
19,23392,1
23,28067,0
22,30265,0
21,34488,1
18,17454,1
18,26837,0
20,29039,0
20,34115,1
24,25965,0
19,24762,1
21,20056,1
21,29948,0
24,23110,0
23,28773,1
23,32412,1
24,15502,0
23,21910,1
20,27685,0
21,15206,1
24,32868,0
21,30934,0
18,32247,0
20,34174,1
22,23755,1
20,27383,0
24,33141,1
22,29820,0
18,22574,0
24,21374,1
19,16678,1
21,34626,0
18,16059,1
21,31198,1
23,24914,0
19,34541,0
19,25817,1
18,25921,0
19,24789,0
22,31312,1
19,26252,0
21,17693,0
21,28931,1
24,18627,1
21,31157,0
24,25173,0
21,33047,1
22,25230,1
24,30707,1
20,26494,1
23,16306,0
18,21776,1
21,24474,1
19,22526,0
21,20530,1
19,18748,0
23,28545,1
23,15663,1
23,16998,1
19,22994,0
21,32879,0
23,18304,1
22,33237,0
24,28808,0
19,21585,0
19,32675,0
21,34965,0
19,26649,0
19,16636,1
23,32082,1
21,19737,0
23,29555,1
24,28877,1
24,15854,1
