experience_years,overtime_hours,salary,left_company
7,3,47504,0
4,5,11802,0
8,3,18155,0
5,1,18120,1
7,5,49384,1
3,7,31918,0
7,7,30445,0
8,9,40306,1
5,3,26646,0
4,7,41065,1
8,1,35199,0
8,4,26371,1
3,4,21835,0
6,5,12049,1
5,7,41616,0
2,7,48191,1
8,4,30932,1
6,7,39855,0
2,3,17158,0
5,6,17400,1
1,2,25151,0
6,9,11154,1
9,5,14499,0
1,6,16295,1
3,4,22183,1
7,7,39299,1
4,9,22874,1
9,7,42711,1
3,1,15539,1
5,1,12557,0
3,9,48360,0
7,9,26482,0
5,4,12200,1
9,9,12961,1
7,3,31357,1
2,7,21969,1
4,6,12869,0
9,8,38643,0
2,9,34736,1
9,5,48467,0
5,1,33328,0
2,3,35876,1
4,8,31295,0
7,6,13987,1
8,8,32399,0
3,9,43986,1
1,4,30880,1
4,1,14735,1
2,1,14555,1
8,4,29830,0
4,7,27429,1
2,2,16893,1
6,3,24373,1
6,1,13436,0
4,5,18754,1
6,1,20677,0
2,8,15895,1
2,1,29738,0
4,1,40746,0
8,2,42352,1
7,2,49790,0
9,6,15600,1
8,7,39124,1
5,5,37643,1
2,1,19007,0
5,1,47410,0
8,3,18208,1
9,2,28589,1
9,5,27453,0
1,6,46212,1
9,7,42635,1
7,4,43828,1
9,7,28711,0
8,8,13420,0
1,1,41216,0
8,6,10301,1
8,8,10699,1
3,5,10190,1
1,4,20492,0
8,2,45743,1
3,6,16102,1
3,6,29778,1
1,1,36641,1
5,9,44584,0
7,6,42745,0
9,3,33093,1
7,4,10569,0
9,4,48210,0
8,3,44663,1
2,3,46631,1
1,3,17455,0
7,4,14014,1
7,7,21093,0
8,4,28070,1
5,9,45777,0
3,1,26538,1
8,8,20729,0
6,7,44177,0
3,2,10784,0
1,8,37751,1
