Student_ID,Study_Hours,Attendance,Assignments,Previous_Marks,Discipline,Pass
101,2,60,55,50,65,0
102,3,65,58,55,70,0
103,4,70,60,60,72,0
104,5,75,68,65,75,1
105,6,80,72,70,80,1
106,7,85,78,75,82,1
107,8,90,82,80,85,1
108,2,55,50,48,60,0
109,3,68,62,58,68,0
110,4,72,65,63,74,1
111,5,78,70,67,76,1
112,6,82,75,72,79,1
113,7,88,80,78,84,1
114,1,50,45,42,55,0
115,2,58,52,49,62,0
116,3,63,57,54,68,0
117,4,69,63,60,71,0
118,5,76,69,66,75,1
119,6,81,74,71,80,1
120,8,92,85,84,90,1
121,1,48,40,38,50,0
122,2,56,48,46,58,0
123,3,62,55,52,66,0
124,4,71,64,61,73,1
125,5,77,71,68,78,1
126,6,83,76,74,82,1
127,7,89,81,79,86,1
128,8,94,88,86,91,1
129,2,59,54,50,63,0
130,5,79,73,69,77,1
