Student_ID,Study_Hours,Attendance,Assignments,Previous_Marks,Discipline,Pass
101,2,60,55,50,65,0
102,3,65,58,55,70,0
103,4,70,60,60,72,0
104,5,75,68,65,75,1
105,6,80,72,70,80,1
106,7,82,75,74,82,1
107,8,85,80,78,85,1
108,2,62,57,54,68,0
109,3,66,60,58,71,0
110,5,76,70,66,77,1
111,6,81,74,71,81,1
112,7,84,78,76,84,1
113,1,55,50,45,60,0
114,4,72,65,63,74,0
115,5,78,69,68,79,1
116,6,83,73,72,82,1
117,7,87,81,79,86,1
118,2,61,56,53,67,0
119,3,68,61,59,72,0
120,8,90,85,83,90,1
121,4,73,66,64,75,1
122,5,79,71,69,80,1
123,6,82,76,73,83,1
124,7,86,82,80,87,1
125,2,59,54,52,66,0
126,3,67,59,57,70,0
127,4,74,67,65,76,1
128,5,77,70,68,79,1
129,6,84,77,75,84,1
130,8,91,86,85,91,1
